1 2 3
1 12 13
1 14 15
1 15 16
1 20 21
1 21 22
1 22 23
1 23 24
1 24 25
1 33 34
1 36 37
1 37 38
1 38 39
1 105 106
2 28 9
2 28 3
2 28 13
2 28 1
2 42 13
2 42 3
2 42 1
2 60 13
2 60 1
2 60 3
2 44 3
2 44 1
2 44 13
2 30 13
2 30 3
2 30 1
2 48 13
2 48 3
2 48 1
2 52 13
2 52 3
2 52 1
2 46 1
2 46 3
2 46 13
2 50 3
2 50 1
2 50 13
2 54 13
2 54 3
2 54 1
2 56 1
2 56 13
2 56 3
2 36 3
2 19 18
2 32 10
2 76 3
2 70 10
2 98 3
2 100 3
2 65 3
2 62 3
2 74 3
2 59 27
2 17 17
2 17 17
3 28 26
3 28 8
3 28 2
3 28 12
3 42 8
3 42 2
3 42 12
3 42 104
3 69 104
3 29 104
3 60 8
3 60 2
3 60 12
3 60 104
3 44 8
3 44 2
3 44 12
3 44 104
3 30 8
3 30 2
3 30 12
3 30 104
3 48 8
3 48 2
3 48 12
3 48 104
3 73 104
3 81 104
3 52 8
3 52 2
3 52 12
3 52 104
3 46 8
3 46 2
3 46 12
3 46 104
3 72 104
3 50 8
3 50 2
3 50 12
3 50 104
3 71 104
3 54 8
3 54 2
3 54 12
3 54 104
3 103 104
3 56 8
3 56 2
3 56 12
3 56 104
3 36 2
3 36 39
3 40 104
3 105 106
3 14 16
3 20 25
3 7 104
3 11 104
3 66 104
3 57 61
3 76 2
3 64 104
3 85 97
3 102 104
3 79 104
3 88 92
3 98 2
3 75 104
3 63 104
3 83 94
3 67 104
3 100 2
3 77 104
3 86 96
3 80 104
3 65 2
3 89 91
3 99 104
3 62 2
3 84 90
3 68 104
3 101 104
3 58 61
3 78 104
3 87 93
3 74 2
3 82 95
3 5 4
3 6 104
3 33 34
3 31 26
4 61 35
4 95 51
4 92 45
4 94 49
4 97 55
4 93 47
4 39 28
4 96 53
4 90 41
4 91 43
5 61 59
