1 6 11
1 11 12
1 12 13
1 13 14
1 14 15
1 15 16
1 16 17
1 17 18
1 18 7
1 7 8
1 8 9
1 9 10
1 21 22
1 23 34
1 34 35
1 35 36
1 36 37
1 37 38
1 38 39
1 39 40
1 40 41
1 41 24
1 24 25
1 25 26
1 26 27
1 27 28
1 28 29
1 29 30
1 30 31
1 31 32
1 32 33
1 42 45
1 45 46
1 46 47
1 47 48
1 48 49
1 49 50
1 50 51
1 51 52
1 52 43
1 43 44
1 62 65
1 65 66
1 66 67
1 67 68
1 68 69
1 69 70
1 70 71
1 71 72
1 72 63
1 63 64
2 3 2
2 3 1
2 3 60
2 3 61
2 3 19
2 59 58
2 62 19
2 62 61
2 62 2
2 62 60
2 62 1
2 20 1
2 20 2
2 20 19
2 20 61
2 20 60
2 6 10
2 6 15
2 5 4
2 53 54
2 53 55
2 53 55
2 53 55
2 53 56
2 53 57
3 23 33
3 62 64
3 21 22
3 42 44
