1 2 3
1 4 5
1 8 9
1 11 13
1 13 14
1 14 15
1 15 16
1 16 17
1 17 18
1 18 19
1 19 20
1 20 12
1 23 25
1 25 26
1 26 27
1 27 28
1 28 29
1 37 38
1 49 50
1 50 51
2 23 44
2 23 36
2 23 29
2 23 45
2 23 43
2 23 39
2 22 1
2 31 44
2 31 35
2 31 43
2 31 36
2 31 45
2 4 4
2 2 2
2 49 51
2 7 43
2 6 43
2 11 21
2 11 21
2 10 48
2 47 46
2 54 53
3 23 27
3 22 55
3 30 55
3 4 5
3 2 3
3 37 38
3 8 9
3 11 12
4 40 33
4 56 52
4 42 23
4 41 34
4 24 32
