1 2 3
1 3 4
1 6 7
1 7 8
1 9 15
1 15 16
1 16 17
1 17 18
1 18 19
1 19 20
1 20 21
1 21 22
1 22 10
1 10 11
1 11 12
1 12 13
1 13 14
1 26 27
1 27 28
1 28 29
1 29 30
1 30 31
1 31 32
1 32 33
1 34 45
1 45 56
1 56 63
1 63 64
1 64 65
1 65 66
1 66 67
1 67 68
1 68 35
1 35 36
1 36 37
1 37 38
1 38 39
1 39 40
1 40 41
1 41 42
1 42 43
1 43 44
1 44 46
1 46 47
1 47 48
1 48 49
1 49 50
1 50 51
1 51 52
1 52 53
1 53 54
1 54 55
1 55 57
1 57 58
1 58 59
1 59 60
1 60 61
1 61 62
1 70 71
1 71 72
1 73 74
1 74 75
1 76 77
1 77 78
1 79 80
1 80 81
1 88 89
1 89 90
1 92 93
1 93 94
1 96 97
1 97 98
1 98 99
1 104 113
1 113 114
1 114 115
1 115 116
1 116 117
1 117 118
1 118 119
1 119 120
1 120 105
1 105 106
1 106 107
1 107 108
1 108 109
1 109 110
1 110 111
1 111 112
1 121 122
1 122 123
1 131 132
1 132 133
1 134 135
1 135 136
1 136 137
1 137 138
1 138 139
1 139 140
1 147 148
1 148 149
1 149 150
1 150 151
1 151 152
2 147 152
2 128 129
2 69 82
2 69 82
2 121 123
2 70 144
2 70 143
2 70 143
2 70 143
2 70 145
2 70 72
2 70 83
2 104 112
2 9 78
2 9 83
2 9 82
2 9 82
2 9 75
2 9 76
2 9 125
2 9 73
2 9 24
2 9 75
2 9 78
2 134 142
2 26 82
2 26 82
2 87 103
2 1 82
2 1 75
2 1 82
2 1 73
2 1 75
3 131 133
3 147 150
3 34 62
3 70 79
3 104 107
3 9 79
3 9 14
3 134 140
3 96 101
3 96 99
3 26 33
3 130 126
3 1 23
3 5 127
3 92 94
3 2 4
3 88 90
3 6 8
3 91 102
3 84 86
4 95 34
4 33 100
4 23 34
4 133 141
4 150 34
4 124 34
4 62 141
4 81 146
4 25 34
4 99 85
