1 2 3
1 3 4
1 11 12
1 13 14
1 14 15
1 15 16
1 16 17
1 20 21
1 21 22
1 22 23
1 55 56
1 56 57
1 69 70
1 70 71
1 82 88
1 88 89
1 89 90
1 90 91
1 91 92
1 92 93
1 93 94
1 94 95
1 95 83
1 83 84
1 84 85
1 85 86
1 86 87
1 115 118
1 118 119
1 119 120
1 120 121
1 121 122
1 122 123
1 123 124
1 124 125
1 125 116
1 116 117
1 127 128
1 139 140
1 140 141
1 141 142
1 142 143
1 143 144
1 144 145
1 145 146
1 146 147
2 77 29
2 77 49
2 77 29
2 77 27
2 44 156
2 44 29
2 44 29
2 44 49
2 44 27
2 53 129
2 53 156
2 53 76
2 53 73
2 53 29
2 53 29
2 53 71
2 53 50
2 53 49
2 53 69
2 53 27
2 151 73
2 151 76
2 151 50
2 151 49
2 151 29
2 151 156
2 151 71
2 151 129
2 151 27
2 151 69
2 151 29
2 8 49
2 8 29
2 8 29
2 8 27
2 8 156
2 8 31
2 36 29
2 36 49
2 36 27
2 36 29
2 36 156
2 32 49
2 32 19
2 32 29
2 32 156
2 32 11
2 32 169
2 32 20
2 32 23
2 32 12
2 32 18
2 32 17
2 32 27
2 32 24
2 32 13
2 32 29
2 32 34
2 32 31
2 32 26
2 32 32
2 32 25
2 32 26
2 32 10
2 32 32
2 32 25
2 32 26
2 32 9
2 32 32
2 45 129
2 45 49
2 45 156
2 45 76
2 45 29
2 45 29
2 45 71
2 45 50
2 45 69
2 45 73
2 45 27
2 159 29
2 159 156
2 159 27
2 159 49
2 159 29
2 159 161
2 159 169
2 68 156
2 68 129
2 68 29
2 68 71
2 68 49
2 68 76
2 68 29
2 68 73
2 68 27
2 68 50
2 68 69
2 6 50
2 6 29
2 6 69
2 6 71
2 6 76
2 6 156
2 6 49
2 6 27
2 6 129
2 6 29
2 6 73
2 100 156
2 100 129
2 100 76
2 100 29
2 100 73
2 100 49
2 100 50
2 100 69
2 100 29
2 100 27
2 100 71
2 115 156
2 115 169
2 115 29
2 115 29
2 115 27
2 115 49
2 176 49
2 176 156
2 176 29
2 176 29
2 176 27
2 174 71
2 174 76
2 174 29
2 174 156
2 174 27
2 174 129
2 174 50
2 174 49
2 174 69
2 174 73
2 174 29
2 139 27
2 139 127
2 139 29
2 139 49
2 139 166
2 139 129
2 139 169
2 139 128
2 139 156
2 139 29
2 2 1
2 164 166
2 164 129
2 164 169
2 171 29
2 171 29
2 171 49
2 171 156
2 171 31
2 171 166
2 171 169
2 171 129
2 171 27
2 163 50
2 163 29
2 163 76
2 163 49
2 163 156
2 163 73
2 163 71
2 163 69
2 163 29
2 163 27
2 163 129
2 131 156
2 135 29
2 135 27
2 135 156
2 135 29
2 135 49
2 97 49
2 97 156
2 97 29
2 97 29
2 97 27
2 72 27
2 72 29
2 72 29
2 72 49
2 72 156
2 154 29
2 154 27
2 154 156
2 154 29
2 154 49
2 82 27
2 82 49
2 82 156
2 82 29
2 82 29
2 152 30
2 7 30
2 60 129
2 60 29
2 60 49
2 60 29
2 60 27
2 60 156
2 107 49
2 107 29
2 107 27
2 107 29
2 107 156
2 173 27
2 173 29
2 173 29
2 173 49
2 173 156
2 96 49
2 96 27
2 96 156
2 96 29
2 96 29
2 52 27
2 52 29
2 52 29
2 52 49
2 52 156
2 101 29
2 101 156
2 101 27
2 101 29
2 101 49
2 114 29
2 114 156
2 114 29
2 105 27
2 105 49
2 105 29
2 105 29
2 105 156
2 62 29
2 62 27
2 62 156
2 62 49
2 62 29
2 66 156
2 66 29
2 66 29
2 64 27
2 64 29
2 64 156
2 64 49
2 64 29
2 65 29
2 65 49
2 65 27
2 65 156
2 65 29
2 108 49
2 108 29
2 108 27
2 108 29
2 108 156
2 67 156
2 67 27
2 67 29
2 67 29
2 67 49
2 63 76
3 8 35
3 8 33
3 138 137
3 130 126
3 130 137
3 159 126
3 159 137
3 159 28
3 159 155
3 159 160
3 159 157
3 159 158
3 159 99
3 153 157
3 115 126
3 115 137
3 115 117
3 139 147
3 2 4
3 61 109
3 164 165
3 171 126
3 171 137
3 171 165
3 171 35
3 171 149
3 171 5
3 136 150
3 135 162
3 135 126
3 75 167
3 97 126
3 97 137
3 113 112
3 82 126
3 82 137
3 82 28
3 82 155
3 82 87
3 152 111
3 7 111
3 175 177
3 60 46
3 173 126
3 173 137
3 42 43
3 38 98
3 104 126
3 104 137
3 104 98
3 55 57
3 106 126
3 106 137
3 106 28
3 106 155
3 106 98
3 37 168
3 37 46
3 37 43
3 37 110
3 37 98
3 37 126
3 37 137
3 37 28
3 37 155
3 51 46
3 132 112
3 172 112
3 52 59
3 170 112
3 47 48
3 78 58
3 79 58
3 105 126
3 105 137
3 40 98
3 40 74
3 103 81
3 103 126
3 103 137
3 103 28
3 103 155
3 103 98
3 134 168
3 80 98
3 41 126
3 41 137
3 41 28
3 41 155
3 108 126
3 108 137
3 108 98
3 39 148
3 102 81
3 102 126
3 102 137
3 102 28
3 102 155
3 102 98
3 54 74
3 133 168
