1 2 3
1 5 6
1 6 7
1 7 8
1 8 9
1 11 12
1 12 13
1 58 59
1 62 63
1 63 64
1 64 65
1 65 66
1 66 67
1 75 76
1 76 77
1 77 78
1 78 79
1 79 80
1 80 81
1 81 82
1 82 83
2 16 14
2 16 28
2 16 21
2 48 28
2 48 22
2 48 21
2 48 14
2 18 14
2 17 14
2 56 57
2 32 9
2 32 14
2 32 20
2 32 5
2 32 9
2 32 27
2 32 19
2 30 5
2 30 14
2 30 27
2 30 19
2 30 9
2 30 20
2 30 9
2 29 5
2 29 27
2 29 37
2 29 14
2 29 9
2 29 20
2 29 19
2 29 9
2 31 37
2 24 19
2 24 9
2 24 5
2 24 14
2 24 27
2 24 9
2 24 50
2 24 20
2 23 37
2 46 45
2 68 67
2 68 62
2 52 14
2 52 19
2 52 50
2 52 9
2 52 9
2 52 20
2 52 27
2 52 5
2 35 9
2 35 9
2 35 19
2 35 50
2 35 5
2 35 27
2 35 14
2 35 20
2 11 13
2 49 40
2 49 41
2 53 54
2 25 19
2 25 5
2 25 14
2 25 9
2 25 27
2 25 20
2 25 9
2 25 50
2 36 20
2 36 9
2 36 19
2 36 14
2 36 5
2 36 9
2 4 1
2 44 45
2 2 3
3 16 14
3 16 34
3 48 14
3 48 34
3 17 14
3 17 34
3 55 71
3 32 33
3 32 27
3 32 26
3 30 33
3 30 27
3 30 26
3 24 33
3 24 27
3 24 26
3 24 15
3 47 43
3 52 33
3 52 27
3 52 26
3 52 15
3 52 34
3 42 43
3 35 33
3 35 27
3 35 26
3 35 15
3 35 34
3 51 15
3 49 41
3 58 59
3 25 33
3 25 34
3 25 27
3 25 26
3 25 15
3 36 14
3 36 34
3 39 43
3 61 60
3 38 43
4 91 87
4 88 84
4 33 17
4 85 75
4 83 86
4 92 73
4 89 87
4 72 84
4 74 84
4 15 16
4 10 86
4 74 75
4 90 87
5 69 70
