Epoch,Accuracy,Average Loss,Time (mins),F1-score
1,0.689,0.6116518974304199,18.358835133333333,0.6557377049180327
2,0.749,0.554524302482605,17.78434136666667,0.7090909090909091
3,0.786,0.5240046977996826,14.8186313,0.704
4,0.798,0.510527491569519,15.066542066666667,0.7801418439716312
5,0.821,0.4917546510696411,16.447506100000002,0.7833333333333333
6,0.851,0.46357929706573486,14.824754166666667,0.7933884297520661
7,0.798,0.5130506753921509,14.3315585,0.7478260869565218
8,0.804,0.5067020654678345,14.577893933333334,0.7350427350427351
9,0.791,0.5209810733795166,14.492438483333332,0.75
10,0.802,0.5103965401649475,14.483048266666666,0.7563025210084033
11,0.816,0.4974072575569153,14.5455504,0.7627118644067796
12,0.828,0.48723965883255005,14.428308566666667,0.7692307692307693
13,0.839,0.47647127509117126,14.620039033333335,0.7586206896551724
14,0.843,0.4717223346233368,14.604003166666667,0.7652173913043478
15,0.841,0.472628116607666,14.619667033333334,0.7833333333333333
16,0.84,0.4741620123386383,14.532285333333334,0.7899159663865546
17,0.85,0.46502289175987244,10.184403533333333,0.8
18,0.858,0.4530588686466217,20.175214416666666,0.8333333333333334
19,0.874,0.4392347037792206,24.127442366666667,0.8130081300813008
20,0.876,0.43722015619277954,66.61406766666667,0.8130081300813008
