1 2 3
1 6 7
1 7 8
1 11 12
1 13 14
1 18 19
1 20 31
1 31 34
1 34 35
1 35 36
1 36 37
1 37 38
1 38 39
1 39 40
1 40 21
1 21 22
1 22 23
1 23 24
1 24 25
1 25 26
1 26 27
1 27 28
1 28 29
1 29 30
1 30 32
1 32 33
1 43 44
1 44 45
1 45 46
1 46 47
1 47 48
1 49 60
1 60 71
1 71 82
1 82 87
1 87 88
1 88 89
1 89 90
1 90 91
1 91 50
1 50 51
1 51 52
1 52 53
1 53 54
1 54 55
1 55 56
1 56 57
1 57 58
1 58 59
1 59 61
1 61 62
1 62 63
1 63 64
1 64 65
1 65 66
1 66 67
1 67 68
1 68 69
1 69 70
1 70 72
1 72 73
1 73 74
1 74 75
1 75 76
1 76 77
1 77 78
1 78 79
1 79 80
1 80 81
1 81 83
1 83 84
1 84 85
1 85 86
1 92 93
1 93 94
1 94 95
1 95 96
1 96 97
1 99 100
2 2 1
2 6 9
2 6 5
2 105 105
2 18 19
2 18 19
2 20 26
2 20 42
2 20 33
2 20 17
2 20 15
2 20 17
2 49 86
2 99 100
2 10 16
2 41 41
2 13 14
3 2 3
3 6 8
3 98 102
3 99 103
3 43 48
3 101 104
3 13 14
3 11 12
3 92 97
4 8 4
